"RunID","DOCUMENT_NUMBER","TRANSACTION_NUMBER","TRANSACTION_ID","SALES_REP_ID","TERRITORY_ID","OPEN_DATE","SHIP_DATE","CLOSE_DATE","RETURN_DATE","FORECAST_TYPE","ABCDO_MARKER_ID","BOOK_FAIRS_STATUS_ID","BOOK_FAIR_TYPE_ID","TRUCK_ROUTE_ID","INVOICE_OPTION_ID","BILL_ADDRESS_LINE_1","BILL_ADDRESS_LINE_2","BILL_ADDRESS_LINE_3","BILL_CITY","BILL_COUNTRY","BILL_STATE","BILL_ZIP","SHIP_ADDRESS_LINE_1","SHIP_ADDRESS_LINE_2","SHIP_ADDRESS_LINE_3","SHIP_CITY","SHIP_COUNTRY","SHIP_STATE","SHIP_ZIP","STATUS","CURRENCY_ID","TRANDATE","EXCHANGE_RATE","ROLL_SIZE","PROJECTED_TOTAL","WEIGHTED_TOTAL","LOCATION_ID","SUBSIDIARY_ID","ACCOUNTING_PERIOD_ID","CUSTOMER_ID","CUSTOM_FORM_ID","CREATED_BY_ID","CREATE_DATE","DATE_LAST_MODIFIED"
"235","58","58","620595","18643","18649","2016-05-02 00:00:00.0","2016-05-02 00:00:00.0","2016-05-06 00:00:00.0","2016-05-09 00:00:00.0","Omitted","4","1","1",,,"HAURAKI ROAD RD 4",,,"THAMES","NZ",,"3574","HAURAKI ROAD",,,"THAMES","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","72","3000.0","0","61","27","100","26505","211","36","2016-01-28 02:52:59.0","2016-01-28 02:52:59.0"
"235","59","59","620596","18643","18648","2016-05-02 00:00:00.0","2016-05-02 00:00:00.0","2016-05-06 00:00:00.0","2016-05-09 00:00:00.0","Omitted","4","1","1",,,"PO BOX 8",,,"AHIPARA","NZ",,"449","MAIN ROAD",,,"AHIPARA","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","208","3000.0","0","61","27","100","25757","211","36","2016-01-28 02:53:02.0","2016-01-28 02:53:02.0"
"235","6","6","618946","18644","18647","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","4","5","1",,,"64 CAMPBELL ST",,,"KARORI WELLINGTON","NZ",,"6012","64 CAMPBELL ST",,,"KARORI WELLINGTON","NZ",,"6012","Closed - Won","13","2016-01-27 00:00:00.0","1.0","0","3000.0","0","61","27","100","24518","211","36","2016-01-27 11:09:23.0","2016-01-28 03:09:33.0"
"235","60","60","620597","18643","18652","2016-05-02 00:00:00.0","2016-05-02 00:00:00.0","2016-05-06 00:00:00.0","2016-05-09 00:00:00.0","Omitted","1","1","2",,,"7 NIMON STREET",,,"HAVELOCK NORTH","NZ",,"4130","7 NIMON STREET",,,"HAVELOCK NORTH","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","570","5000.0","0","61","27","100","26964","211","36","2016-01-28 02:53:06.0","2016-01-28 02:53:06.0"
"235","61","61","620598","18643","18649","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","3","1","2",,,"309 WELCOME BAY ROAD",,,"TAURANGA","NZ",,"3112","309 WELCOME BAY ROAD",,,"TAURANGA","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","301","5000.0","0","61","27","100","26527","211","36","2016-01-28 02:53:08.0","2016-01-28 02:53:08.0"
"235","62","62","620599","18643","18649","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","3","1","2",,,"PO BOX 7041",,,"TAURANGA","NZ",,"3148","164 MAUNGATAPU ROAD",,,"TAURANGA","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","508","5000.0","0","61","27","100","26381","211","36","2016-01-28 02:53:11.0","2016-01-28 02:53:11.0"
"235","63","63","620600","18644","18647","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","2","1","2",,,"DYER STREET",,,"LOWER HUTT","NZ",,"5011","DYER STREET",,,"LOWER HUTT","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","233","5000.0","0","61","27","100","27052","211","36","2016-01-28 02:53:12.0","2016-01-28 02:53:12.0"
"235","64","64","620601","18643","18647","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","2","1","2",,,"KOWHAI ROAD",,,"WELLINGTON","NZ",,"6012","KOWHAI ROAD",,,"WELLINGTON","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","310","5000.0","0","61","27","100","27083","211","36","2016-01-28 02:53:14.0","2016-01-28 02:53:14.0"
"235","65","65","620602","18644","18648","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","1","1","2",,,"188 LAKE ROAD",,,"NORTH SHORE CITY","NZ",,"622","10 WINSCOMBE STREET",,,"AUCKLAND","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","565","5000.0","0","61","27","100","25987","211","36","2016-01-28 02:53:19.0","2016-01-28 02:53:19.0"
"235","66","66","620603","18644","18650","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","3","1","2",,,"197 WHITFORD ROAD",,,"HOWICK","NZ",,"1705","197 WHITFORD ROAD",,,"HOWICK","NZ",,"1705","In Progress","13","2016-01-28 00:00:00.0","1.0","0","5000.0","0","61","27","100","28197","211","36","2016-01-28 02:53:21.0","2016-01-28 02:53:21.0"
"235","67","67","620604","18644","18646","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","1","1","2",,,"255 NEW BRIGHTON ROAD",,,"CHRISTCHURCH","NZ",,"8083","255 NEW BRIGHTON ROAD",,,"CHRISTCHURCH","NZ",,"8083","In Progress","13","2016-01-28 00:00:00.0","1.0","0","5000.0","0","61","27","100","27520","211","36","2016-01-28 02:59:32.0","2016-01-28 02:59:32.0"
"235","68","68","620605","18644","18650","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","2","1","2",,,"PO BOX 82015",,,"MANUKAU","NZ",,"2143","WILLOUGHBY AVENUE",,,"AUCKLAND","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","295","5000.0","0","61","27","100","26101","211","36","2016-01-28 02:59:40.0","2016-01-28 02:59:40.0"
"235","69","69","620606","18643","18648","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","1","1","2",,,"51 FLANSHAW ROAD",,,"WAITAKERE","NZ",,"610","51 FLANSHAW ROAD",,,"AUCKLAND","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","389","5000.0","0","61","27","100","25783","211","36","2016-01-28 02:59:44.0","2016-01-28 02:59:44.0"
"235","7","7","618947","18644","18651","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","3","5","2",,,"161 METZGER STREET",,,"INVERCARGILL","NZ",,"9812","161 METZGER STREET",,,"INVERCARGILL","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","291","3000.0","0","61","27","100","27830","211","36","2016-01-27 11:09:26.0","2016-01-28 03:09:43.0"
"235","70","70","620607","18644","18651","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","4","1","1",,,"14 NAISH STREET",,,"BALCLUTHA","NZ",,"9200","14 NAISH STREET",,,"BALCLUTHA","NZ",,"9200","In Progress","13","2016-01-28 00:00:00.0","1.0","0","5000.0","0","61","27","100","25679","211","36","2016-01-28 02:59:47.0","2016-01-28 02:59:47.0"
"235","71","71","620608","18644","18651","2016-05-09 00:00:00.0","2016-05-09 00:00:00.0","2016-05-13 00:00:00.0","2016-05-15 00:00:00.0","Omitted","4","1","2",,,"288 POMONA STREET",,,"INVERCARGILL","NZ",,"9812","288 POMONA STREET",,,"INVERCARGILL","NZ",,,"In Progress","13","2016-01-28 00:00:00.0","1.0","321","5000.0","0","61","27","100","27823","211","36","2016-01-28 02:59:52.0","2016-01-28 02:59:52.0"
"235","8","8","618948","18644","18646","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","2","5","2",,,"PO BOX 38109",,,"CHRISTCHURCH","NZ",,"8842","CHADBURY STREET",,,"CHRISTCHURCH","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","345","3000.0","0","61","27","100","27447","211","36","2016-01-27 11:09:29.0","2016-01-28 03:09:53.0"
"235","9","9","618949","18644","18646","2016-02-02 00:00:00.0","2016-02-02 00:00:00.0","2016-02-06 00:00:00.0","2016-02-09 00:00:00.0","Omitted","2","5","2",,,"61 BRIDLE PATH ROAD",,,"CHRISTCHURCH","NZ",,"8022","BRIDLE PATH ROAD",,,"CHRISTCHURCH","NZ",,,"Closed - Won","13","2016-01-27 00:00:00.0","1.0","245","3000.0","0","61","27","100","27385","211","36","2016-01-27 11:09:31.0","2016-01-28 03:10:03.0"
