"RunID","BASE_CURRENCY_ID","BRANCH_ID","BRN","DATE_LAST_MODIFIED","EDITION","FEDERAL_NUMBER","FISCAL_CALENDAR_ID","FULL_NAME","ISINACTIVE","IS_ELIMINATION","IS_MOSS","LEGAL_ENTITY_ACCOUNT_CODE","LEGAL_NAME","MOSS_NEXUS_ID","NAME","PARENT_ID","PURCHASEORDERAMOUNT","PURCHASEORDERQUANTITY","PURCHASEORDERQUANTITYDIFF","RECEIPTAMOUNT","RECEIPTQUANTITY","RECEIPTQUANTITYDIFF","STATE_TAX_NUMBER","SUBSIDIARY_EXTID","SUBSIDIARY_ID","TRAN_NUM_PREFIX","UEN","URL","CURRENCY"
"236","1",,,"2016-01-03 20:34:14","US",,"2","Scholastic Inc.","No","No","No","US00","Scholastic Inc (QA/UAT)",,"Scholastic Inc.",,,,,,,,,,"1","US00",,"www.scholastic.com","US Dollar"
"236","11",,,"2015-08-19 00:35:16","XX","03307638","2","Scholastic Inc. : Scholastic Asia : Grolier Taiwan","No","No","No","TW00","Grolier International, Inc., Taiwan Branch",,"Grolier Taiwan","2",,,,,,,,,"10","TW",,,"Taiwan Dollar"
"236","1",,,"2014-05-26 04:29:41","US",,"2","Scholastic Inc. : Elimination Scholastic Inc.","No","Yes","No",,,,"Elimination Scholastic Inc.","1",,,,,,,,,"11","E-SI",,,"US Dollar"
"236","1",,,"2014-05-26 04:30:10","US",,"2","Scholastic Inc. : Scholastic Asia : Elimination Scholastic Asia","No","Yes","No",,,,"Elimination Scholastic Asia","2",,,,,,,,,"12","E-SA",,,"US Dollar"
"236","12",,,"2015-08-19 00:35:46","XX","21542679","2","Scholastic Inc. : Scholastic Asia : Hong Kong Home Office","No","No","No","HK01","Hong Kong Home Office",,"Hong Kong Home Office","2",,,,,,,,,"13","HK01",,,"Hong Kong Dollar"
"236","9",,,"2015-08-19 00:34:44","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Philippines - Finance","No","No","No","PH01",,,"Grolier Philippines - Finance","2",,,,,,,,,"14","PH01",,,"Philippine Peso"
"236","10",,,"2014-11-12 15:49:14","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier India : Elimination Grolier India","No","Yes","No",,,,"Elimination Grolier India","9",,,,,,,,,"15","E-IN",,,"Indian Rupee"
"236","8",,,"2014-11-12 15:53:50","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Indonesia : Elimination Grolier Indonesia","No","Yes","No",,,,"Elimination Grolier Indonesia","7",,,,,,,,,"16","E-ID",,,"Indonesian Rupiah"
"236","5",,,"2014-11-12 15:59:12","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Malaysia : Elimination Grolier Malaysia","No","Yes","No",,,,"Elimination Grolier Malaysia","3",,,,,,,,,"17","E-MY",,,"Malaysian Ringgit"
"236","9",,,"2014-11-12 16:00:59","XX",,"2","Scholastic Inc. : Scholastic Asia : Grolier Philippines : Elimination Grolier Philippines","No","Yes","No",,,,"Elimination Grolier Philippines","8",,,,,,,,,"18","E-PH",,,"Philippine Peso"
