"RunID","LANDED_COST_RULE_MATRIX_NZ_ID","LANDED_COST_RULE_MATRIX_NZ_NAM","DESCRIPTION","IS_INACTIVE","PERCENT_OF_COST","PLUS_AMOUNT","SUBSIDIARY_ID","SUBSIDIARY","DATE_CREATED","LAST_MODIFIED_DATE"
"252","17","NZ/ASIA","NZA","F","6.5",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:17:33"
"252","16","NM EX ASIA","NMA","F","2.5",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:17:26"
"252","15","IRE/UK/CAN","EUC","F","12.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:17:21"
"252","14","MALAYSIA SEA","MS","F","10.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:17:15"
"252","13","MALAYSIA AIR","MA","F","40.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:17:09"
"252","12","SINGAPORE SEA","GS","F","10.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:17:03"
"252","11","SINGAPORE AIR","GA","F","45.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:16:57"
"252","10","CHINA / HONG KONG SEA","FS","F","10.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:16:51"
"252","9","CHINA / HONG KONG AIR","FA","F","40.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:16:44"
"252","8","AUSTRALIA SEA","ES","F","15.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:16:05"
"252","7","AUSTRALIA AIR","EA","F","16.0","6.0","27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:15:59"
"252","6","UNITED KINGDOM SEA","CS","F","15.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:15:54"
"252","5","UNITED KINGDOM AIR","CA","F","30.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:15:48"
"252","4","CANADA SEA","BS","F","30.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:15:42"
"252","3","CANADA AIR","BA","F","50.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:15:35"
"252","2","USA SEA","AS","F","28.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:15:27"
"252","1","USA AIR","AA","F","50.0",,"27","Scholastic New Zealand Limited","2015-12-13 21:33:23","2015-12-20 13:11:26"
