"RunID","TRANSACTION_ID","PO_NUMBER","TRANSACTION_LINE_ID","REF_TRX_NUMBER","REF_CUSTOM_FORM_ID","VENDOR_ID","APPROVER_LEVEL_ONE_ID","APPROVER_LEVEL_TWO_ID","AMOUNT_UNBILLED","APPROVAL_STATUS","bill_address_line_1","bill_address_line_2","bill_address_line_3","bill_city","bill_country","bill_state","bill_zip","CARRIER_ID","CLOSED","CREATED_BY_ID","REQUESTOR_ID","CREATED_FROM_ID","CREATE_DATE","CURRENCY_ID","CUSTOM_FORM_ID","DATE_LAST_MODIFIED","EMPLOYEE_CUSTOM_ID","EXCHANGE_RATE","LOCATION_ID","PO_APPROVER_ID","ship_address_line_1","ship_address_line_2","ship_address_line_3","ship_city","ship_country","ship_state","ship_zip","SHIPMENT_RECEIVED","PO_STATUS","PAYMENT_TERMS_ID","FRIGHT_RATE","SUBSIDIARY_ID","DEPARTMENT_ID","ITEM_ID","BC_QUANTITY","BIH_QUANTITY","BOOK_FAIR_QUANTITY","EDUCATION_QUANTITY","NZSO_QUANTITY","TRADE_QUANTITY","SCHOOL_ESSENTIALS_QUANTITY","ITEM_COUNT","ITEM_GROSS_AMOUNT","AMOUNT","AMOUNT_FOREIGN","NET_AMOUNT","NET_AMOUNT_FOREIGN","GROSS_AMOUNT","MATCH_BILL_TO_RECEIPT","TRACK_LANDED_COST","ITEM_UNIT_PRICE","NUMBER_BILLED","QUANTITY_RECEIVED_IN_SHIPMENT","QUANTITY_RETURNED","EXPECTED_RECEIPT_DATE","ACTUAL_DELIVERY_DATE","TAX_ITEM_ID","TAX_TYPE","TAX_AMOUNT","FREIGHT_ESTIMATE_METHOD_ID","line_type","CLASS_ID"
"197","587714","PO-20","4",,,"18999","18640","18638","-15.05","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"7365","59900",,"2016-01-07 08:58:05","1","194","2016-02-15 09:27:11","7365","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,"34228",,,,,,,,"-1",,"0","0","0","0","0","F",,"0 %",,,,,,"34228","Value Added Tax",,,"PO_TAX",
"197","587715","PO-21","0",,,"18999","18640","18638","-467.56","Pending Approval of Approver 2","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"7365","59900",,"2016-01-07 09:39:28","1","194","2016-02-15 09:27:16","7365","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,,,,,,,,,,,"-467.56","-310","-467.56","-310","-467.56","F",,,,,,,,,,,,"PO_HDR",
"197","587715","PO-21","1",,,"18999","18640","18638","-467.56","Pending Approval of Approver 2","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"7365","59900",,"2016-01-07 09:39:28","1","194","2016-02-15 09:27:16","7365","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,,,,,,,,,,,"467.56","310","467.56","310","467.56","F",,,"0","0",,,,"34228",,"0.0",,"PO_LINE",
"197","587715","PO-21","5",,,"18999","18640","18638","-467.56","Pending Approval of Approver 2","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"7365","59900",,"2016-01-07 09:39:28","1","194","2016-02-15 09:27:16","7365","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,"34228",,,,,,,,"-1",,"0","0","0","0","0","F",,"0 %",,,,,,"34228","Value Added Tax",,,"PO_TAX",
"197","587716","PO-22","0",,,"18999","18640","18638","-19.59","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"7365","7365",,"2016-01-07 10:12:43","1","194","2016-02-15 09:27:18","7365","1.50825729","59",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,,,,,,,,,,,"-19.59","-12.99","-19.59","-12.99","-19.59","F",,,,,,,,,,,,"PO_HDR",
"197","587716","PO-22","1",,,"18999","18640","18638","-19.59","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"7365","7365",,"2016-01-07 10:12:43","1","194","2016-02-15 09:27:18","7365","1.50825729","59",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29","28.0","27",,"191",,"1",,,,,,"1","12.99","19.59","12.99","19.59","12.99","19.59","F","T","19.5922621971","0","0",,"2016-01-07 00:00:00",,"34228",,"0.0","2","PO_LINE",
"197","587716","PO-22","3",,,"18999","18640","18638","-19.59","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"7365","7365",,"2016-01-07 10:12:43","1","194","2016-02-15 09:27:18","7365","1.50825729","59",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,"34228",,,,,,,,"-1",,"0","0","0","0","0","F",,"0 %",,,,,,"34228","Value Added Tax",,,"PO_TAX",
"197","587717","PO-23","0",,,"18999",,,"-5.66","Pending Receipt","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"18441","18441",,"2016-01-07 10:17:14","1","194","2016-01-14 01:15:16","18441","1.50825729","58","18441","21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Bill","29",,"27",,,,,,,,,,,,"-5.66","-3.75","-5.66","-3.75","-5.66","F",,,,,,,,,,,,"PO_HDR","101"
"197","587717","PO-23","1",,,"18999",,,"-5.66","Pending Receipt","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"18441","18441",,"2016-01-07 10:17:14","1","194","2016-01-14 01:15:16","18441","1.50825729","58","18441","21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013","2016-01-14 00:00:00","Pending Bill","29","28.0","27",,"39417",,"3",,,,,,"3","3.75","5.66","3.75","5.66","3.75","5.66","F","T","1.8853216125","0","3",,"2016-01-08 00:00:00",,"34228",,"0.0","2","PO_LINE","101"
"197","587717","PO-23","10",,,"18999",,,"-5.66","Pending Receipt","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"18441","18441",,"2016-01-07 10:17:14","1","194","2016-01-14 01:15:16","18441","1.50825729","58","18441","21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Bill","29",,"27",,"34228",,,,,,,,"-1",,"0","0","0","0","0","F",,"0 %",,,,,,"34228","Value Added Tax",,,"PO_TAX","101"
"197","587718","PO-24","0",,,"18999","18640","18638","-5.66","Pending Approval of Approver 2","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"59900","59900",,"2016-01-07 10:31:59","1","194","2016-02-15 09:27:19","59900","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,,,,,,,,,,,"-5.66","-3.75","-5.66","-3.75","-5.66","F",,,,,,,,,,,,"PO_HDR",
"197","587718","PO-24","1",,,"18999","18640","18638","-5.66","Pending Approval of Approver 2","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"59900","59900",,"2016-01-07 10:31:59","1","194","2016-02-15 09:27:19","59900","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29","28.0","27",,"39417",,,,"1",,,"2","3","3.75","5.66","3.75","5.66","3.75","5.66","F","T","1.8853216125","0","0",,"2016-01-07 00:00:00",,"34228",,"0.0","2","PO_LINE",
"197","587718","PO-24","5",,,"18999","18640","18638","-5.66","Pending Approval of Approver 2","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"59900","59900",,"2016-01-07 10:31:59","1","194","2016-02-15 09:27:19","59900","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,"34228",,,,,,,,"-1",,"0","0","0","0","0","F",,"0 %",,,,,,"34228","Value Added Tax",,,"PO_TAX",
"197","587719","PO-25","0",,,"18999","18640","18638","-5.66","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"18441","59900",,"2016-01-07 11:29:05","1","194","2016-02-15 09:27:21","18441","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,,,,,,,,,,,"-5.66","-3.75","-5.66","-3.75","-5.66","F",,,,,,,,,,,,"PO_HDR",
"197","587719","PO-25","1",,,"18999","18640","18638","-5.66","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"18441","59900",,"2016-01-07 11:29:05","1","194","2016-02-15 09:27:21","18441","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29","28.0","27",,"39417","1","2",,,,,,"3","3.75","5.66","3.75","5.66","3.75","5.66","F","T","1.8853216125","0","0",,"2016-01-11 00:00:00",,"34228",,"0.0","2","PO_LINE",
"197","587719","PO-25","4",,,"18999","18640","18638","-5.66","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,,"18441","59900",,"2016-01-07 11:29:05","1","194","2016-02-15 09:27:21","18441","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,"34228",,,,,,,,"-1",,"0","0","0","0","0","F",,"0 %",,,,,,"34228","Value Added Tax",,,"PO_TAX",
"197","587720","PO-26","0",,,"18999","18640","18638","-5.66","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001","1",,"18441","59900",,"2016-01-07 11:39:31","1","194","2016-02-15 09:27:22","18441","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,,,,,,,,,,,"-5.66","-3.75","-5.66","-3.75","-5.66","F",,,,,,,,,,,,"PO_HDR",
"197","587720","PO-26","1",,,"18999","18640","18638","-5.66","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001","1",,"18441","59900",,"2016-01-07 11:39:31","1","194","2016-02-15 09:27:22","18441","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29","28.0","27",,"39417","1","2",,,,,,"3","3.75","5.66","3.75","5.66","3.75","5.66","F","T","1.8853216125","0","0",,"2016-01-08 00:00:00",,"34228",,"0.0","2","PO_LINE",
"197","587720","PO-26","4",,,"18999","18640","18638","-5.66","Pending Approval of Approver 1","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001","1",,"18441","59900",,"2016-01-07 11:39:31","1","194","2016-02-15 09:27:22","18441","1.50825729","58",,"21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Pending Supervisor Approval","29",,"27",,"34228",,,,,,,,"-1",,"0","0","0","0","0","F",,"0 %",,,,,,"34228","Value Added Tax",,,"PO_TAX",
"197","587722","PO-27","0",,,"18999","18640","18638","0.0","Pending Receipt","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,"2016-01-08 00:00:00","18441","18441",,"2016-01-07 13:07:19","1","194","2016-01-14 01:10:49","18441","1.50825729","58","18441","21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013",,"Fully Billed","29",,"27",,,,,,,,,,,,"-11.31","-7.5","-11.31","-7.5","-11.31","F",,,,,,,,,,,,"PO_HDR",
"197","587722","PO-27","1",,,"18999","18640","18638","0.0","Pending Receipt","50 CARNATION AVENUE",,,"FLORAL PARK","US",,"NY 11001",,"2016-01-08 00:00:00","18441","18441",,"2016-01-07 13:07:19","1","194","2016-01-14 01:10:49","18441","1.50825729","58","18441","21 Lady Ruby Dr.","East Tamaki",,"Auckland","NZ",,"2013","2016-01-08 00:00:00","Fully Billed","29","28.0","27",,"39417",,"6",,,,,,"6","7.5","11.31","7.5","11.31","7.5","11.31","F","T","1.8853216125","6","6",,"2016-01-10 00:00:00",,"34228",,"0.0","2","PO_LINE",
